ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
3966;820.252/2018;985;0.17225190673154894;0;8
3967;896.624/2009;3788;0.1722355020231574;1;8
3968;840.153/2017;4077;0.17200160649841767;1;8
3969;884.166/2014;3767;0.17177242118397265;1;8
3970;820.672/2005;4923;0.17167093227523075;0;8
3971;890.231/2018;2940;0.17165251070948423;1;8
3972;826.417/2019;1097;0.17161828765091267;0;8
3973;820.851/2015;1037;0.17147174102936305;1;8
3974;840.281/2016;1383;0.1712639225974324;1;8
3975;815.675/2003;4715;0.17118299989954247;0;8
3976;810.726/2019;4486;0.17079334125451495;0;8
3977;848.020/2013;1414;0.17072946059854668;1;8
3978;871.324/2016;3743;0.17041183109470193;1;8
3979;810.197/2010;793;0.170144440903808;0;8
3980;860.777/2020;1665;0.17002549261666025;1;8
3981;861.186/2022;3348;0.17002549261666025;1;8
3982;300.732/2023;4495;0.17002549261666025;0;8
3983;840.154/2017;1379;0.17000823788112554;1;8
3984;826.008/2016;1073;0.16983358614137456;1;8
3985;884.024/2016;3759;0.16983358614137456;1;8
3986;896.603/2013;3786;0.16958615965535792;0;8
3987;896.617/2013;3787;0.16958615965535792;0;8
3988;896.098/2013;4189;0.16958615965535792;1;8
3989;832.844/2016;1302;0.16957655257586093;0;8
3990;810.449/2012;3952;0.16950323823309124;0;8
3991;844.053/2014;4364;0.16945794976612963;0;8
3992;815.350/2008;913;0.1693409960743623;0;8
3993;800.595/2012;568;0.1692427530858517;1;8
3994;846.110/2013;3685;0.16919006602988085;0;8
3995;860.804/2016;3049;0.16911546520538578;1;8
3996;815.502/2015;924;0.16903783234368164;1;8
3997;300.977/2016;388;0.1689297447095551;1;8
3998;831.148/2016;1206;0.1689297447095551;1;8
3999;810.941/2011;857;0.16889897881318078;1;8
4000;826.177/2018;1076;0.16878914303373416;0;8
4001;860.497/2021;4540;0.16839104613581315;1;8
4002;896.140/2018;4415;0.16824274325153935;0;8
4003;800.479/2014;553;0.16806601933307094;0;8
4004;800.480/2014;554;0.16806601933307094;0;8
4005;820.874/2013;1045;0.16798040581460283;1;8
4006;896.166/2014;2239;0.16796543694469118;1;8
4007;884.001/2016;2908;0.1670279303070583;1;8
4008;826.479/2016;4046;0.1670279303070583;0;8
4009;840.010/2018;1371;0.1669703582323529;0;8
4010;848.041/2015;2478;0.16665707669992974;1;8
4011;848.140/2015;4529;0.16665707669992974;1;8
4012;826.562/2016;4051;0.16663740792694942;0;8
4013;826.084/2020;4369;0.16657211160530708;0;8
4014;848.319/2016;1476;0.16654910889104318;0;8
4015;872.105/2014;4351;0.1664845048165829;1;8
4016;861.648/2021;4536;0.166166774191646;1;8
4017;871.083/2015;4153;0.16614331479949282;1;8
4018;896.168/2016;2241;0.16550437641185156;0;8
4019;840.318/2018;4081;0.16457491330209648;0;8
4020;815.220/2018;908;0.16457365629793874;0;8
4021;800.476/2009;551;0.1642435252021106;1;8
4022;880.111/2019;3754;0.16406294078496778;0;8
4023;896.848/2008;4993;0.16405997826765079;0;8
4024;806.243/2007;764;0.16386522770958684;1;8
4025;806.244/2007;765;0.16386522770958684;1;8
4026;890.832/2012;2215;0.16346307518215683;1;8
4027;810.148/1998;3940;0.16341597311792086;0;8
4028;872.441/2013;4161;0.1633455277996161;1;8
4029;890.698/2014;2208;0.16324139213745265;0;8
4030;820.165/1998;4651;0.16317501154242758;0;8
4031;896.109/2008;3124;0.16256122072083107;1;8
4032;864.290/2014;2425;0.1622561604790086;1;8
4033;815.565/2008;930;0.16220184776790975;0;8
4034;810.888/2014;4442;0.16207225705698067;0;8
4035;810.932/2011;856;0.16196991073422276;1;8
4036;815.637/2002;2397;0.1618300161707884;1;8
4037;890.096/2018;2369;0.16149365938338606;1;8
4038;300.544/2011;248;0.16125589403092705;1;8
4039;810.558/2015;3960;0.16088617613252781;0;8
4040;800.620/2013;575;0.16083540729647003;1;8
4041;860.410/2014;1617;0.1605970105761144;1;8
4042;861.214/2013;4335;0.1605970105761144;1;8
4043;830.924/1990;1188;0.16059005825450115;1;8
4044;300.209/2021;3843;0.16039638982222126;1;8
4045;848.218/2017;1455;0.16035535863619715;1;8
4046;800.444/2015;539;0.1594423444505445;1;8
4047;800.447/2015;541;0.1594423444505445;1;8
4048;800.455/2015;544;0.1594423444505445;1;8
4049;800.669/2015;580;0.1594423444505445;1;8
4050;810.566/2019;2978;0.1594168395240178;0;8
4051;815.368/2017;914;0.15922631778036264;1;8
4052;815.775/2017;950;0.15922631778036264;1;8
