ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
986;800.687/2016;585;0.49352223565455994;0;8
987;815.492/2015;922;0.49342599675239285;1;8
988;810.182/2015;791;0.49340698111241743;0;8
989;896.243/2014;2252;0.49330862542355036;0;8
990;815.537/2007;2331;0.4932142863896924;0;8
991;891.081/1994;2220;0.49310311161721065;0;8
992;811.382/2013;4006;0.4930655467758744;0;8
993;303.084/2017;3920;0.4929218849509062;0;8
994;840.152/2009;4076;0.4928219526566279;0;8
995;815.775/2017;950;0.4926678452675175;0;8
996;821.307/2014;1069;0.4925158700546752;1;8
997;810.019/2009;3932;0.49248469506689235;0;8
998;810.546/2019;2967;0.4921432308061013;1;8
999;810.547/2019;2968;0.4921432308061013;1;8
1000;810.556/2019;2971;0.4921432308061013;1;8
1001;810.559/2019;2972;0.4921432308061013;1;8
1002;810.563/2019;2975;0.4921432308061013;1;8
1003;810.564/2019;2976;0.4921432308061013;1;8
1004;870.226/2020;1986;0.4919157895292493;0;8
1005;846.021/2017;3669;0.49163988395369823;0;8
1006;810.537/2018;3827;0.4915479199471226;1;8
1007;810.725/2019;4314;0.49146516015529607;0;8
1008;811.624/2015;3241;0.4914609298692107;1;8
1009;884.166/2014;3767;0.49135027875040854;0;8
1010;300.913/2021;3897;0.49128087342030874;0;8
1011;300.604/2018;3609;0.49127050715808074;1;8
