modelo;variavel_codificada
regressor;evento_197
regressor;evento_1974
regressor;evento_1976
regressor;evento_198
regressor;evento_1986
regressor;evento_1988
regressor;evento_199
regressor;evento_2
regressor;evento_200
regressor;evento_201
regressor;evento_204
regressor;evento_206
regressor;evento_2065
regressor;evento_207
regressor;evento_2073
regressor;evento_2075
regressor;evento_2076
regressor;evento_208
regressor;evento_2086
regressor;evento_2087
regressor;evento_209
regressor;evento_2095
regressor;evento_2096
regressor;evento_21
regressor;evento_2101
regressor;evento_2106
regressor;evento_2107
regressor;evento_2108
regressor;evento_2114
regressor;evento_2116
regressor;evento_2118
regressor;evento_2119
regressor;evento_2139
regressor;evento_214
regressor;evento_215
regressor;evento_2159
regressor;evento_216
regressor;evento_221
regressor;evento_222
regressor;evento_223
regressor;evento_2230
regressor;evento_224
regressor;evento_225
regressor;evento_2268
regressor;evento_227
regressor;evento_2275
regressor;evento_228
regressor;evento_230
regressor;evento_231
regressor;evento_2310
regressor;evento_232
regressor;evento_2338
regressor;evento_2340
regressor;evento_2341
regressor;evento_2342
regressor;evento_2348
regressor;evento_2349
regressor;evento_235
regressor;evento_2350
regressor;evento_2351
regressor;evento_2352
regressor;evento_2353
regressor;evento_236
regressor;evento_237
regressor;evento_238
regressor;evento_239
regressor;evento_240
regressor;evento_241
regressor;evento_242
regressor;evento_243
regressor;evento_244
regressor;evento_245
regressor;evento_249
regressor;evento_250
regressor;evento_251
regressor;evento_252
regressor;evento_253
regressor;evento_255
regressor;evento_256
regressor;evento_257
regressor;evento_260
regressor;evento_261
regressor;evento_262
regressor;evento_263
regressor;evento_264
regressor;evento_265
regressor;evento_2664
regressor;evento_268
regressor;evento_27
regressor;evento_270
regressor;evento_271
regressor;evento_272
regressor;evento_273
regressor;evento_275
regressor;evento_276
regressor;evento_277
regressor;evento_278
regressor;evento_279
regressor;evento_280
regressor;evento_2802
regressor;evento_281
regressor;evento_282
regressor;evento_283
regressor;evento_284
regressor;evento_285
regressor;evento_286
regressor;evento_290
regressor;evento_291
regressor;evento_2917
regressor;evento_293
regressor;evento_294
regressor;evento_296
regressor;evento_299
regressor;evento_3
regressor;evento_302
regressor;evento_303
regressor;evento_305
regressor;evento_307
regressor;evento_308
regressor;evento_309
regressor;evento_310
regressor;evento_312
regressor;evento_313
regressor;evento_314
regressor;evento_315
regressor;evento_316
regressor;evento_317
regressor;evento_318
regressor;evento_320
regressor;evento_321
regressor;evento_322
regressor;evento_323
regressor;evento_324
regressor;evento_325
regressor;evento_326
regressor;evento_327
regressor;evento_328
regressor;evento_330
regressor;evento_331
regressor;evento_332
regressor;evento_336
regressor;evento_338
regressor;evento_340
regressor;evento_349
regressor;evento_350
regressor;evento_351
regressor;evento_352
regressor;evento_356
regressor;evento_357
regressor;evento_359
regressor;evento_360
regressor;evento_361
regressor;evento_362
regressor;evento_363
regressor;evento_364
regressor;evento_365
regressor;evento_366
regressor;evento_369
regressor;evento_370
regressor;evento_380
regressor;evento_386
regressor;evento_390
regressor;evento_391
regressor;evento_392
regressor;evento_393
regressor;evento_394
regressor;evento_395
regressor;evento_396
regressor;evento_398
regressor;evento_399
regressor;evento_4
regressor;evento_400
regressor;evento_401
regressor;evento_403
regressor;evento_406
regressor;evento_407
regressor;evento_411
regressor;evento_418
regressor;evento_421
regressor;evento_423
regressor;evento_430
regressor;evento_436
regressor;evento_440
regressor;evento_448
regressor;evento_451
regressor;evento_452
regressor;evento_455
regressor;evento_459
regressor;evento_460
regressor;evento_461
regressor;evento_465
regressor;evento_470
regressor;evento_471
regressor;evento_472
regressor;evento_473
regressor;evento_474
regressor;evento_475
regressor;evento_476
regressor;evento_490
regressor;evento_498
regressor;evento_499
regressor;evento_5
regressor;evento_515
regressor;evento_517
regressor;evento_519
regressor;evento_533
regressor;evento_535
regressor;evento_537
regressor;evento_540
regressor;evento_541
regressor;evento_545
regressor;evento_546
regressor;evento_554
regressor;evento_560
regressor;evento_561
regressor;evento_563
regressor;evento_566
regressor;evento_582
regressor;evento_583
regressor;evento_585
regressor;evento_587
regressor;evento_588
regressor;evento_595
regressor;evento_598
regressor;evento_603
regressor;evento_607
regressor;evento_614
regressor;evento_621
regressor;evento_622
regressor;evento_623
regressor;evento_624
regressor;evento_625
regressor;evento_626
regressor;evento_630
regressor;evento_634
regressor;evento_635
regressor;evento_636
regressor;evento_637
regressor;evento_638
regressor;evento_639
regressor;evento_640
regressor;evento_641
regressor;evento_642
regressor;evento_643
regressor;evento_644
regressor;evento_645
regressor;evento_646
regressor;evento_650
regressor;evento_651
regressor;evento_652
regressor;evento_653
regressor;evento_654
regressor;evento_657
regressor;evento_658
regressor;evento_660
regressor;evento_662
regressor;evento_663
regressor;evento_664
regressor;evento_665
regressor;evento_666
regressor;evento_667
regressor;evento_672
regressor;evento_674
regressor;evento_676
regressor;evento_681
regressor;evento_682
regressor;evento_683
regressor;evento_684
regressor;evento_687
regressor;evento_688
regressor;evento_690
regressor;evento_691
regressor;evento_692
regressor;evento_693
regressor;evento_694
regressor;evento_695
regressor;evento_700
regressor;evento_704
regressor;evento_707
regressor;evento_718
regressor;evento_719
regressor;evento_720
regressor;evento_722
regressor;evento_723
regressor;evento_730
regressor;evento_736
regressor;evento_737
regressor;evento_740
regressor;evento_741
regressor;evento_742
regressor;evento_743
regressor;evento_744
regressor;evento_745
regressor;evento_746
regressor;evento_747
regressor;evento_748
regressor;evento_749
regressor;evento_750
regressor;evento_751
regressor;evento_755
regressor;evento_757
regressor;evento_759
regressor;evento_760
regressor;evento_761
regressor;evento_762
regressor;evento_765
regressor;evento_766
regressor;evento_767
regressor;evento_769
regressor;evento_770
regressor;evento_772
regressor;evento_773
regressor;evento_775
regressor;evento_780
regressor;evento_783
regressor;evento_784
regressor;evento_787
regressor;evento_788
regressor;evento_790
regressor;evento_794
regressor;evento_795
regressor;evento_796
regressor;evento_799
regressor;evento_800
regressor;evento_802
regressor;evento_803
regressor;evento_806
regressor;evento_807
regressor;evento_808
regressor;evento_809
regressor;evento_810
regressor;evento_811
regressor;evento_812
regressor;evento_820
regressor;evento_825
regressor;evento_826
regressor;evento_829
regressor;evento_830
regressor;evento_840
regressor;evento_845
regressor;evento_901
regressor;evento_902
regressor;evento_904
regressor;evento_905
regressor;evento_921
regressor;evento_923
regressor;evento_929
regressor;evento_931
regressor;evento_964
regressor;evento_99
regressor;eventos_anteriores
regressor;historico_ausente
regressor;log_hectares
regressor;regime=Lavra-Concessão
regressor;regime=Pesquisa
regressor;requerentes_titulares_historicos
regressor;substancia_100100
regressor;substancia_100103
regressor;substancia_100400
regressor;substancia_100704
regressor;substancia_100800
regressor;substancia_100801
regressor;substancia_100805
regressor;substancia_100900
regressor;substancia_100901
regressor;substancia_101100
regressor;substancia_101101
regressor;substancia_101104
regressor;substancia_101300
regressor;substancia_101301
regressor;substancia_101302
regressor;substancia_101500
regressor;substancia_101800
regressor;substancia_101900
regressor;substancia_102100
regressor;substancia_102101
regressor;substancia_102200
regressor;substancia_102300
regressor;substancia_102301
regressor;substancia_102303
regressor;substancia_102400
regressor;substancia_102401
regressor;substancia_103100
regressor;substancia_103101
regressor;substancia_103102
regressor;substancia_103200
regressor;substancia_103201
regressor;substancia_103203
regressor;substancia_103300
regressor;substancia_103301
regressor;substancia_103400
regressor;substancia_103500
regressor;substancia_103501
regressor;substancia_103502
regressor;substancia_103503
regressor;substancia_103600
regressor;substancia_103602
regressor;substancia_103603
regressor;substancia_103700
regressor;substancia_103702
regressor;substancia_104300
regressor;substancia_104900
regressor;substancia_104901
regressor;substancia_104908
regressor;substancia_105100
regressor;substancia_105305
regressor;substancia_105324
regressor;substancia_200100
regressor;substancia_200200
regressor;substancia_200208
regressor;substancia_200300
regressor;substancia_200301
regressor;substancia_200400
regressor;substancia_200402
regressor;substancia_200600
regressor;substancia_200603
regressor;substancia_200800
regressor;substancia_200900
regressor;substancia_201200
regressor;substancia_300101
regressor;substancia_300102
regressor;substancia_300313
regressor;substancia_300402
regressor;substancia_400103
regressor;substancia_400109
regressor;substancia_400301
regressor;substancia_400400
regressor;substancia_500102
regressor;substancia_500200
regressor;substancia_601000
regressor;substancia_601005
regressor;substancia_601009
regressor;substancia_601010
regressor;substancia_601012
regressor;substancia_601015
regressor;substancia_601019
regressor;substancia_601024
regressor;substancia_601025
regressor;substancia_601045
regressor;substancia_601051
